,Precision,Recall,f1_score,confusion_matrix
0,0.0,0.0,0.0,"[[130   0]
 [  8   0]]"
1,0.0,0.0,0.0,"[[219   0]
 [ 45   0]]"
2,0.0,0.0,0.0,"[[212   0]
 [ 51   0]]"
3,0.0,0.0,0.0,"[[102   0]
 [ 48   0]]"
4,0.0,0.0,0.0,"[[130   0]
 [  8   0]]"
5,0.0,0.0,0.0,"[[219   0]
 [ 45   0]]"
6,0.0,0.0,0.0,"[[212   0]
 [ 51   0]]"
7,0.0,0.0,0.0,"[[102   0]
 [ 48   0]]"
8,0.0,0.0,0.0,"[[130   0]
 [  8   0]]"
9,0.0,0.0,0.0,"[[219   0]
 [ 45   0]]"
10,0.0,0.0,0.0,"[[212   0]
 [ 51   0]]"
11,0.0,0.0,0.0,"[[102   0]
 [ 48   0]]"
12,0.0,0.0,0.0,"[[130   0]
 [  8   0]]"
13,0.0,0.0,0.0,"[[219   0]
 [ 45   0]]"
14,0.0,0.0,0.0,"[[212   0]
 [ 51   0]]"
15,0.0,0.0,0.0,"[[102   0]
 [ 48   0]]"
16,0.0,0.0,0.0,"[[130   0]
 [  8   0]]"
17,0.0,0.0,0.0,"[[219   0]
 [ 45   0]]"
18,0.0,0.0,0.0,"[[212   0]
 [ 51   0]]"
19,0.0,0.0,0.0,"[[102   0]
 [ 48   0]]"
20,0.0,0.0,0.0,"[[130   0]
 [  8   0]]"
21,1.0,0.2,0.33333333333333337,"[[219   0]
 [ 36   9]]"
22,1.0,0.27450980392156865,0.43076923076923085,"[[212   0]
 [ 37  14]]"
23,1.0,0.10416666666666667,0.18867924528301885,"[[102   0]
 [ 43   5]]"
24,0.0,0.0,0.0,"[[130   0]
 [  8   0]]"
25,1.0,0.2,0.33333333333333337,"[[219   0]
 [ 36   9]]"
26,1.0,0.27450980392156865,0.43076923076923085,"[[212   0]
 [ 37  14]]"
27,1.0,0.10416666666666667,0.18867924528301885,"[[102   0]
 [ 43   5]]"
28,0.0,0.0,0.0,"[[130   0]
 [  8   0]]"
29,0.9444444444444444,0.37777777777777777,0.5396825396825397,"[[218   1]
 [ 28  17]]"
30,0.8235294117647058,0.27450980392156865,0.4117647058823529,"[[209   3]
 [ 37  14]]"
31,0.9230769230769231,0.25,0.39344262295081966,"[[101   1]
 [ 36  12]]"
32,1.0,0.125,0.2222222222222222,"[[130   0]
 [  7   1]]"
33,0.9615384615384616,0.5555555555555556,0.7042253521126761,"[[218   1]
 [ 20  25]]"
34,0.65,0.5098039215686274,0.5714285714285715,"[[198  14]
 [ 25  26]]"
35,0.90625,0.6041666666666666,0.725,"[[99  3]
 [19 29]]"
36,0.5,0.125,0.2,"[[129   1]
 [  7   1]]"
37,0.7714285714285715,0.6,0.675,"[[211   8]
 [ 18  27]]"
38,0.6136363636363636,0.5294117647058824,0.5684210526315789,"[[195  17]
 [ 24  27]]"
39,0.8809523809523809,0.7708333333333334,0.8222222222222222,"[[97  5]
 [11 37]]"
40,0.057971014492753624,1.0,0.1095890410958904,"[[  0 130]
 [  0   8]]"
41,0.7714285714285715,0.6,0.675,"[[211   8]
 [ 18  27]]"
42,0.2569832402234637,0.9019607843137255,0.4,"[[ 79 133]
 [  5  46]]"
43,0.45652173913043476,0.875,0.6,"[[52 50]
 [ 6 42]]"
